Cycle,BaseStation,A,B
1,2,2,2
2,2,2,2
3,2,2,2
4,5,5,5
5,5,5,5
6,6,6,6
7,6,6,6
8,6,6,6
9,6,6,6
10,6,6,6
11,6,6,6
12,7,7,7
13,7,7,7
14,7,7,7
15,7,7,7
16,7,7,7
17,7,7,7
18,8,8,8
19,8,8,8
20,8,8,8
21,9,9,9
22,10,10,10
23,10,10,10
24,10,10,10
25,10,10,10
26,10,10,10
27,11,11,11
28,12,12,12
29,14,14,14
30,14,14,14
31,14,14,14
32,14,14,14
33,14,14,14
34,14,14,14
35,16,16,16
36,19,19,19
37,20,20,20
38,20,20,20
39,20,23,20
40,20,23,20
41,20,23,20
42,20,23,20
43,20,23,20
44,20,23,20
45,20,23,20
46,20,24,20
47,20,24,21
48,20,24,22
49,20,24,22
50,20,24,23
51,20,24,24
52,20,24,24
53,20,24,24
54,20,24,24
55,24,24,24
56,25,25,24
57,27,27,24
58,27,27,24
59,27,27,24
60,27,27,24
61,27,27,24
62,27,27,24
63,27,27,24
64,27,27,24
65,27,27,25
66,27,27,26
67,27,27,26
68,27,27,26
69,27,27,27
70,27,27,27
71,31,31,27
72,31,31,28
73,31,31,28
74,31,32,28
75,31,32,28
76,31,33,28
77,31,33,28
78,31,33,29
79,31,33,29
80,31,33,30
81,31,33,30
82,41,33,41
83,41,34,41
84,41,34,41
85,41,34,41
86,41,34,41
87,41,34,41
88,41,35,41
89,41,35,41
90,41,35,41
91,41,35,41
92,41,35,41
93,41,35,41
94,41,35,41
95,41,35,41
96,41,35,41
97,41,36,41
98,42,36,42
99,42,36,42
100,42,36,42
101,42,36,42
102,42,36,42
103,43,36,43
104,43,36,43
105,43,36,43
106,43,36,43
107,43,36,43
108,43,36,43
109,43,36,43
110,43,36,43
111,43,36,43
112,43,37,43
113,43,37,43
114,43,37,43
115,43,37,43
116,43,39,43
117,43,39,43
118,43,39,43
119,43,39,43
120,43,39,43
121,43,39,43
122,43,40,43
123,43,41,43
124,43,41,43
125,43,41,43
126,43,41,43
127,43,41,43
128,43,42,43
129,43,42,43
130,43,42,43
131,43,42,43
132,43,42,43
133,43,42,43
134,43,42,43
135,43,42,43
136,43,42,43
137,43,42,43
138,43,43,43
139,44,43,44
140,44,43,44
141,44,43,44
142,44,44,44
143,44,44,44
144,44,44,44
145,44,44,44
146,44,44,44
147,44,44,44
148,44,44,44
149,44,44,44
150,44,44,44
151,44,44,44
152,44,44,44
153,44,44,44
154,44,45,44
155,45,45,45
156,45,45,45
157,45,45,45
158,45,45,45
159,45,45,45
160,45,45,45
161,45,45,45
162,45,45,45
163,45,45,45
164,45,45,45
165,45,45,45
166,45,45,45
167,45,45,45
168,45,45,45
169,45,45,45
170,45,45,45
171,45,45,45
172,45,46,45
173,45,46,45
174,45,46,45
175,45,46,45
176,45,46,45
177,45,46,45
178,45,46,45
179,45,47,45
180,45,47,45
181,45,47,46
182,45,47,46
183,45,47,46
184,45,47,45
